square_footage,num_bedrooms,location,price
1660,1,Austin,265590
2094,1,Boston,341992
1930,2,Chicago,357240
1895,3,Boston,429978
2438,2,Boston,427488
2969,1,Houston,534731
1266,1,New York,262592
2038,4,Austin,463851
1130,3,Houston,296015
2282,2,New York,403287
2935,1,Seattle,518346
930,1,Austin,195174
2485,1,New York,440959
1569,2,San Francisco,333117
2315,2,Houston,469609
2015,3,Seattle,441894
1755,4,Austin,507151
1984,4,Chicago,486341
1259,4,Dallas,403971
821,1,Chicago,196968
1547,4,San Francisco,423485
1274,1,San Francisco,199156
1882,3,Miami,469527
2847,1,Miami,521187
1775,3,Chicago,418668
2606,3,Houston,577449
989,4,Boston,333863
1362,4,New York,443243
2699,1,Dallas,429510
2067,2,Seattle,362689
2328,4,Dallas,586056
1446,4,San Francisco,432512
2868,2,Miami,552209
2097,2,Boston,375172
1400,4,Los Angeles,378808
2861,2,Austin,534786
1041,1,Los Angeles,226982
2841,3,Los Angeles,549101
2163,3,Houston,512456
2939,4,Houston,656791
2190,4,Miami,523576
2278,1,Los Angeles,357045
1575,2,Seattle,286647
834,4,San Francisco,289765
2755,3,Los Angeles,527810
2385,1,Boston,384126
1821,1,Austin,293007
1929,2,New York,403618
2300,4,Miami,593042
1502,4,Miami,395610
2379,1,Chicago,375178
961,3,Boston,285547
1001,4,Houston,338309
2781,3,San Francisco,615676
1795,1,Seattle,320012
1615,4,Boston,465616
1255,3,Dallas,347554
2075,1,New York,360248
1816,3,Austin,437253
1137,4,Chicago,339598
1678,2,Boston,351917
1876,3,Chicago,427655
1591,2,New York,375934
1563,4,Los Angeles,443070
1179,2,Chicago,297779
1292,1,Miami,217685
1980,2,Houston,413139
2862,3,Los Angeles,601131
864,3,Boston,270748
2167,2,Austin,382153
1952,1,Miami,318051
2827,4,New York,588596
2295,2,Los Angeles,409706
1962,3,Miami,412528
2322,3,Houston,528510
1191,2,Los Angeles,228696
2498,2,San Francisco,491055
1218,2,San Francisco,269275
1178,4,Los Angeles,411642
2596,3,Los Angeles,490480
2888,3,San Francisco,601882
2982,3,Boston,624762
1000,4,Chicago,315930
2663,1,Austin,480273
1579,3,Miami,376359
1302,3,Miami,363722
2551,1,New York,461530
1604,4,Austin,478154
2946,1,Seattle,483655
2695,1,San Francisco,456730
2370,1,Seattle,362793
1760,1,Houston,332542
2285,4,Austin,553278
1828,4,Dallas,448556
1302,1,New York,232211
1197,2,Los Angeles,244249
1670,2,Houston,328934
1192,2,Chicago,283469
1006,2,Dallas,218502
1838,3,Austin,416486
2681,4,Austin,562102
2284,4,Seattle,534284
1663,1,Boston,279939
1363,3,Seattle,337355
1820,1,Miami,326602
895,1,Seattle,181174
2723,4,Boston,571831
2557,3,Chicago,562979
2478,2,Houston,449830
1340,4,San Francisco,381415
1859,3,Austin,427978
1983,3,Los Angeles,482129
2522,4,Seattle,626662
2619,4,Dallas,543238
2397,1,Chicago,437202
1595,1,New York,259056
1851,1,Austin,341983
2443,2,Boston,421302
2163,4,Miami,483077
2781,3,Boston,575967
2154,4,Seattle,502148
2463,3,Houston,562000
2329,2,Miami,475946
2838,4,Dallas,633817
2296,3,Boston,452609
2208,3,Dallas,484682
2200,1,New York,368197
2106,2,Dallas,443594
1772,4,Austin,433876
2568,1,Chicago,455112
2082,2,Miami,447487
1509,1,Austin,284832
2279,4,Los Angeles,581334
2234,3,Boston,453179
1448,4,Boston,381178
1117,2,Los Angeles,268288
2057,4,Dallas,471255
1483,2,Austin,299357
1463,1,Miami,273282
2798,2,Miami,557067
2431,3,Los Angeles,519262
2295,3,Boston,517751
1936,3,Los Angeles,400648
2653,1,New York,444938
2320,2,New York,487169
1363,1,New York,299489
2091,4,San Francisco,471111
2436,4,Chicago,542398
1498,4,Houston,387521
2960,4,Seattle,613870
801,3,San Francisco,233560
1441,2,Miami,353871
2389,3,Dallas,477483
1654,2,Boston,387805
2559,2,Dallas,457209
2461,1,Los Angeles,430535
1953,4,Boston,470350
1876,2,Seattle,365573
2507,4,Seattle,537229
2495,4,Austin,586136
2533,4,Dallas,565445
2239,3,Houston,442337
1635,4,Seattle,410010
1002,2,Chicago,292275
922,3,Austin,330765
1200,4,Houston,401827
1566,1,Boston,327908
1093,4,Dallas,343353
997,4,Dallas,367587
2730,3,Houston,511255
2991,2,Houston,534808
1408,4,Seattle,432552
1947,3,Boston,475186
986,3,Austin,280516
2594,2,Chicago,506526
1459,3,Miami,395609
2755,2,Miami,488216
2169,1,San Francisco,333038
2786,4,Chicago,607384
2334,3,Boston,509955
946,1,Boston,169453
2534,3,Austin,549382
2643,3,Dallas,553892
1288,1,San Francisco,211779
2759,3,Austin,526864
2463,3,San Francisco,517893
1440,1,Dallas,257961
2602,3,Los Angeles,546801
2769,2,San Francisco,524264
2998,3,Austin,586097
2238,4,Los Angeles,559002
2434,3,Houston,536783
1062,4,Chicago,356478
2587,4,Seattle,539113
2991,3,Austin,623016
1423,1,Houston,222784
1816,2,Miami,398248
1680,2,Miami,327127
2849,3,Boston,563393
2127,1,Austin,385562
1252,1,New York,265075
1983,2,Seattle,351519
2856,1,New York,444004
2482,3,Chicago,486912
1954,3,Boston,442202
1203,1,Seattle,219620
2999,3,Los Angeles,594951
2901,4,San Francisco,651031
2496,2,Seattle,462110
1427,3,Dallas,398912
1386,1,Los Angeles,217263
2448,2,San Francisco,420970
2243,3,Chicago,480571
2245,2,Miami,460710
903,1,San Francisco,147440
1053,4,Dallas,381534
2296,4,Boston,588658
898,3,San Francisco,279359
2684,4,Seattle,584737
2719,3,Seattle,523423
1677,2,Boston,318384
1137,3,Seattle,280104
1756,3,Chicago,462054
